model,publication_date,year,organization,domain,task,parameters,training_compute_flop,training_dataset_size_total,log10_parameters,log10_training_compute_flop,log10_training_dataset_size_total,parameters_provenance,training_compute_provenance,training_dataset_provenance,parameters_algorithm_imputed_flag,training_compute_algorithm_imputed_flag,training_dataset_algorithm_imputed_flag,reasoning_flag,tool_use_flag,agentic_flag,chat_flag,code_flag,multimodal_flag,historical_architecture_anchor,open_model_weights_code,foundation_model_flag,frontier_model_flag,imputed_any_flag
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,2018,Facebook AI Research,Language,Language modeling,247000000,4.47e+19,100000000,8.39269695326,19.6503075231,8,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BERT-Large,2018-10-11,2018,Google,Language,"Question answering,Text autocompletion",340000000,2.85e+20,2649900000,8.53147891704,20.45484486,9.42322948516,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TrellisNet,2018-10-15,2018,"Carnegie Mellon University (CMU),Bosch Center for Artificial Intelligence,Intel Labs",Language,Language modeling,180000000,2.78e+18,103000000,8.2552725051,18.4440447959,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MemoReader,2018-10-31,2018,"Samsung,Korea University",Language,Question answering,35000000,5.8298782e+16,1057958,7.54406804435,16.7656594814,6.02446842693,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,2018,Google Brain,Language,"Language modeling/generation,Translation",2900000000,6.84288e+19,1550000000,9.4623979979,19.8352389241,9.19033169817,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,2018,Google Brain,Language,"Language modeling/generation,Translation",4900000000,1.617408e+20,5000000000,9.69019608003,20.2088195869,9.69897000434,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,2018,Samsung R&D Institute Russia,Language,Language modeling,46000000,5.188e+16,1044112,7.66275783168,16.7149999674,6.01874708715,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi-cell LSTM,2018-11-15,2018,University of Hyderabad,Language,Language modeling,7200000,2.00664e+15,929000,6.85733249643,15.3024694651,5.96801571399,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformer ELMo,2019-01-01,2019,"Allen Institute for AI,University of Washington",Language,Language modeling,56000000,3.58496861911e+17,2000000000,7.74818802701,17.5544853584,9.30102999566,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Transformer-XL (257M),2019-01-09,2019,"Carnegie Mellon University (CMU),Google Brain",Language,Language modeling/generation,257000000,3.7832771e+20,103000000,8.40993312333,20.5778681517,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MT-DNN,2019-01-31,2019,Microsoft,Language,Language modeling,330000000,4.47e+19,1000000,8.51851393988,19.6503075231,6,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,1,0,0,1
GPT-2 (1.5B),2019-02-14,2019,OpenAI,Language,Language modeling/generation,1500000000,1.92e+21,10666666666.7,9.17609125906,21.2833012287,10.0280287236,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
True-Regularization+Finetune+Dynamic-Eval,2019-04-08,2019,"Mobvoi,Williams College",Language,Language modeling,7000000,2.97e+17,929000,6.84509804001,17.4727564493,5.96801571399,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
WeNet (Penn Treebank),2019-04-08,2019,Amazon,Language,"Neural Architecture Search - NAS,Language modeling",23000000,7.30000001e+17,929000,7.36172783602,17.8633228607,5.96801571399,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformer-XL + RMS dynamic eval,2019-04-17,2019,University of Edinburgh,Language,Language modeling/generation,257000000,7.690547e+18,103000000,8.40993312333,18.8859572307,8.01283722471,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,2019,Amazon,Language,"Neural Architecture Search - NAS,Language modeling/generation",395000000,1.5405e+20,1300000000,8.59659709563,20.1876617027,9.11394335231,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuro-Symbolic Concept Learner,2019-04-26,2019,"Massachusetts Institute of Technology (MIT),Tsinghua University,MIT-IBM Watson AI Lab,DeepMind","Vision,Language","Visual question answering,Semantic segmentation",39686269.666,9.6259648867e+16,100000,7.59864027906,16.9834442731,5,mice_pmm,mice_pmm,epoch_source_estimate,1,1,0,0,0,0,0,0,1,0,0,0,0,1
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,2019,IDIAP,Language,Language modeling,34000000,4.08e+17,2000000,7.53147891704,17.6106601631,6.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
XLM,2019-06-01,2019,Facebook,Language,"Translation,Language modeling",665000000,1.55518005388e+20,832000000,8.8228216453,20.1917806775,8.92012332629,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
XLNet,2019-06-01,2019,"Carnegie Mellon University (CMU),Google Brain",Language,"Language modeling/generation,Question answering,Sentiment classification",340000000,6.19e+21,32890000000,8.53147891704,21.791690649,10.5170638735,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Transformer-XL Large + Phrase Induction,2019-06-04,2019,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)",Language,Language modeling/generation,257000000,3.7848651e+20,103000000,8.40993312333,20.578050405,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,2019,University of Texas at Austin,Language,Language modeling,35000000,3.15e+17,2000000,7.54406804435,17.4983105538,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Char-CNN-BiLSTM,2019-06-13,2019,Capital One,Language,Language modeling,89544402.3934,6.38283548022e+17,929000,7.95203844238,17.8050136505,5.96801571399,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
RoBERTa Large,2019-07-01,2019,"Facebook,University of Washington",Language,"Question answering,Language modeling/generation",355000000,8.5067e+21,42666666666,8.55022835306,21.9297611171,10.6300887149,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,1,0
EN^2AS with performance reward,2019-07-22,2019,"Beijing Institute of Technology,University of Technology Sydney,Monash University",Language,"Neural Architecture Search - NAS,Language modeling",23000000,1.27e+17,2000000,7.36172783602,17.103803721,6.30102999566,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Mogrifier (d2, MoS2, MC) + dynamic eval",2019-09-04,2019,"DeepMind,University of Oxford",Language,Language modeling,35000000,5.188e+16,2000000,7.54406804435,16.7149999674,6.30102999566,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Megatron-BERT,2019-09-17,2019,NVIDIA,Language,Language modeling/generation,3900000000,2.2e+22,6960000000,9.59106460703,22.3424226808,9.84260923961,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Megatron-LM (1.2B),2019-09-17,2019,NVIDIA,Language,Language modeling/generation,1200000000,1.1304e+21,157000000000,9.07918124605,21.0532321488,11.1958996524,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megatron-LM (8.3B),2019-09-17,2019,NVIDIA,Language,Language modeling/generation,8300000000,9.1e+21,46400000000,9.91907809238,21.9590413923,10.6665179806,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adaptive Inputs + LayerDrop,2019-09-25,2019,"Facebook AI Research,LORIA",Language,"Language modeling/generation,Translation,Question answering,Text summarization,Language modeling",423000000,2.65e+19,103000000,8.62634036738,19.4232458739,8.01283722471,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,1,0,0,1
ALBERT,2019-09-26,2019,"Toyota Technological Institute at Chicago,Google Research",Language,"Language modeling/generation,Question answering",18000000,1.42190942957e+19,3300000000,7.2552725051,19.1528719343,9.51851393988,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,1,0,0,1
T5-11B,2019-10-23,2019,Google,Language,"Text autocompletion,Language modeling/generation",11000000000,3.3e+22,34000000000,10.0413926852,22.5185139399,10.531478917,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BART-large,2019-10-29,2019,Facebook AI,Language,"Language modeling/generation,Question answering",406291456,1.617408e+20,42666666666,8.60883768954,20.2088195869,10.6300887149,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Base LM + kNN LM + Continuous Cache,2019-11-01,2019,"Stanford University,Facebook AI Research",Language,Language modeling,247000000,3.05292e+19,103000000,8.39269695326,19.484715424,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM-RoBERTa,2019-11-05,2019,Facebook AI,Language,"Named entity recognition (NER),Question answering,Text classification",550000000,2.076e+22,167000000000,8.74036268949,22.3172273492,11.2227164711,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,1,0
CamemBERT,2019-11-10,2019,"Facebook,INRIA,Sorbonne University",Language,"Language modeling/generation,Part-of-speech tagging,Named entity recognition (NER)",335000000,8.3e+20,28615771779.6,8.52504480704,20.9190780924,10.4566054635,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sandwich Transformer,2019-11-10,2019,"Allen Institute for AI,Facebook AI Research",Language,Language modeling,209000000,2.3504093e+19,700000000,8.32014628611,19.3711434968,8.84509804001,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformer-XL DeFINE (141M),2019-11-27,2019,"University of Washington,Allen Institute for AI",Language,Language modeling,141000000,1.74276e+18,103000000,8.14921911266,18.2412375834,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMLSTM (PTB),2019-12-05,2019,"Beijing University of Posts and Telecommunications,University of West London",Language,Language modeling,21300000,5.8298782e+16,929000,7.32837960344,16.7656594814,5.96801571399,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMLSTM (WT-2),2019-12-05,2019,"Beijing University of Posts and Telecommunications,University of West London",Language,Language modeling,32300000,1.938e+17,2000000,7.50920252233,17.2873537727,6.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meena,2020-01-28,2020,Google Brain,Language,"Text autocompletion,Chat",2600000000,1.12e+23,53333333333.3,9.41497334797,23.0492180227,10.7269987279,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Perceiver IO (optical flow),2020-02-08,2020,DeepMind,"Multimodal,Language,Vision","Language modeling/generation,Image captioning",27900000,6.19294760191e+19,146022400000,7.44560420327,19.7918974055,11.1644194822,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,1,0,0,0,0,1
TaLK Convolution,2020-02-08,2020,Carleton University,Language,"Language modeling,Translation,Text summarization",240000000,2.6990346e+19,103000000,8.38021124171,19.431208452,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBERT-xxlarge,2020-02-09,2020,"Toyota Technological Institute at Chicago,Google",Language,"Language modeling/generation,Question answering",235000000,2.39e+21,3300000000,8.37106786227,21.3783979009,9.51851393988,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turing-NLG,2020-02-13,2020,Microsoft,Language,"Text autocompletion,Language generation,Text summarization",17000000000,1.57e+22,46400000000,10.2304489214,22.1958996524,10.6665179806,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFN SwiGLU,2020-02-14,2020,Google,Language,"Language modeling,Question answering",220000000,3.3687317e+19,50600083456,8.34242268082,19.5274664233,10.7041512331,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feedback Transformer,2020-02-21,2020,"LORIA,University of Lorraine,Facebook AI Research",Language,Language modeling,126000000,7.690547e+18,103000000,8.10037054512,18.8859572307,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCAN (WT2),2020-02-28,2020,"Nanjing University,Ant Group",Language,Language modeling,33000000,3.58496861911e+17,2000000,7.51851393988,17.5544853584,6.30102999566,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TransformerXL + spectrum control,2020-03-11,2020,"University of California Los Angeles (UCLA),JD.com",Language,Language modeling,151000000,2.6289761e+19,103000000,8.17897694729,19.419786638,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Routing Transformer (WT-103),2020-03-12,2020,Google Research,Language,Language modeling,79500000,5.2587456e+19,103000000,7.90036712866,19.7208821617,8.01283722471,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Tensor-Transformer(1core)+PN (WT103),2020-03-17,2020,University of California (UC) Berkeley,Language,Language modeling,85300000,1.58e+18,103000000,7.93094903117,18.198657087,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UnifiedQA,2020-05-02,2020,"Allen Institute for AI,University of Washington",Language,Question answering,11000000000,1.65e+19,700000000,10.0413926852,19.2174839442,8.84509804001,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
NAS+ESS (23M),2020-05-06,2020,"Northeastern University (China),NiuTrans Research,Kingsoft",Language,"Neural Architecture Search - NAS,Language modeling",23000000,5.188e+16,2000000,7.36172783602,16.7149999674,6.30102999566,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Retrieval-Augmented Generator,2020-05-22,2020,"Facebook,New York University (NYU),University College London (UCL)",Language,"Question answering,Retrieval-augmented generation",626000000,3.68040088931e+19,3074560,8.79657433321,19.565895127,6.48778297271,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,1,0,0,1
GPT-3 175B (davinci),2020-05-28,2020,OpenAI,Language,"Text autocompletion,Language modeling/generation",174600000000,3.14e+23,238000000000,11.2420442394,23.4969296481,11.3765769571,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Hopfield Networks (2020),2020-07-16,2020,"Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo","Biology,Vision,Language,Medicine","Drug discovery,Language modeling,Object recognition,Cancer diagnosis",93514704.726,1.29497388267e+19,103000000,7.97087990691,19.1122610096,8.01283722471,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,1,0,0,1
DeLighT,2020-08-03,2020,"University of Washington,Allen Institute for AI,Facebook AI Research",Language,"Language modeling,Translation",99000000,3.8016e+18,103000000,7.9956351946,18.579966419,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERNIE-GEN (large),2020-08-06,2020,Baidu,Language,"Language modeling,Language modeling/generation,Text summarization,Chat",340000000,2e+20,114666666667,8.53147891704,20.3010299957,11.0594371879,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,0,0,0,1,0,0,0
LUKE,2020-10-02,2020,"University of Washington,National Institute of Informatics",Language,"Question answering,Relation extraction,Named entity recognition (NER)",483000000,1.8144e+22,4666666667,8.68394713075,22.2587330372,9.66900678099,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mT5-XXL,2020-10-20,2020,"Google,Google Research",Language,"Language modeling,Translation,Language modeling/generation,Question answering",13000000000,8.2e+22,1e+12,10.1139433523,22.9138138524,12,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,1,0
CPM-Large,2020-12-01,2020,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",Language,Language modeling,2600000000,2.6052e+20,16700000000,9.41497334797,20.4158410695,10.2227164711,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DensePhrases,2020-12-23,2020,"Korea University,Princeton University",Language,Question answering,80944425.3794,2.09952e+18,58000000,7.90818694438,18.3221200161,7.76342799356,mice_pmm,epoch_source_estimate,epoch_source_estimate,1,0,0,0,0,0,0,0,0,0,1,0,0,1
CT-MoS (WT2),2020-12-25,2020,"Google,National Tsing Hua University",Language,Language modeling,45000000,5.4e+17,2000000,7.65321251378,17.7323937598,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERNIE-Doc (247M),2020-12-31,2020,Baidu,Language,"Language modeling,Language modeling/generation",247000000,3.0302798e+19,103000000,8.39269695326,19.4814827308,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SRU++ Large,2021-02-24,2021,ASAPP,Language,Language modeling,234000000,2.1173704e+19,103000000,8.36921585741,19.3257968375,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Generative BST,2021-03-05,2021,Facebook AI Research,Language,"Language modeling/generation,Chat,Question answering",9431810048,1.449e+22,56800000000,9.9745950457,22.1610683855,10.7543483357,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,0,0,1,0,0,0
